target,Bait,Climate Change,Coastal Development,Commercial Fishers,Compliance,Demand,Disturbances,Erosion,Fisheries Resources,Fishing Grounds,Funding,Gear,MPAs,Marine Diseases,Marine Habitat,Non Point Pollution,Nursery Habitats,Recreational Boating,Recreational Fishing,Subsistence Fishing,Water Quality
Bait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
Coastal Development,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
Commercial Fishers,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Disturbances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fisheries Resources,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,0,1,0,-1,-1,0
Fishing Grounds,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
Fishing Interest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPAs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marine Biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
Marine Habitat,0,-1,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,-1,0,0,0,0,0
Non Point Pollution,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursery Habitats,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0
Recreational Boating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recreational Fishing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Subsistence Fishing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Water Quality,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
