,Coastal Ecology,Coastal Ecosystem Health,Community & Ties,Coral Health,Environmental Impact,Fishermen Perceptions,Fishing Communities,Local Fisheries,Local Fishers,Marine Degradation,Marine Ecology,Resource Sustainability,Stakeholder Conflicts,USVI Fisheries,USVI Fisheries Management
Coastal Ecology,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Coastal Ecosystem Health,-1.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.6,0.0
Community & Ties,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Health,0.0,0.0,0.2,0.0,0.0,-0.2,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
Environmental Impact,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fishermen Perceptions,-0.6666666666666666,-0.75,0.6,0.0,0.0,0.0,0.6,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Fishing Communities,0.0,0.0,1.0,-0.2,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Local Fisheries,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Local Fishers,-0.5,0.0,1.0,0.0,-0.5,0.6,0.0,0.0,0.0,0.0,-0.5,0.6,0.0,0.0,0.0
Marine Degradation,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
Marine Ecology,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.5,0.0,0.0,0.0,0.0,0.0
Resource Sustainability,-0.5,0.0,0.0,0.0,0.2,0.0,-0.6,0.0,0.2,0.0,0.0,0.0,0.0,-1.0,-1.0
Stakeholder Conflicts,0.0,0.0,0.0,0.0,-0.6,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
USVI Fisheries,0.0,0.0,0.0,-0.6,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.6,0.0,0.0
USVI Fisheries Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
