,Benthic Community,Biodiversity Impacts,Cumulative Stressors,Farm Spatial Metrics,Kelp Habitat Impacts,Kelp Spatial Dynamics,Marine Ecosystem,Network Management,Ocean Habitats,Permitting Compliance,substrate
Benthic Community,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,1.0
Biodiversity Impacts,0.0,0.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Cumulative Stressors,0.4,0.0,0.0,0.8,0.75,0.25,1.0,1.0,0.8,0.6666666666666666,0.0
Farm Spatial Metrics,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Kelp Habitat Impacts,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kelp Spatial Dynamics,0.0,1.0,0.8,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0
Marine Ecosystem,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Network Management,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Ocean Habitats,1.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.8,0.0
Permitting Compliance,0.5,0.2,0.0,-0.2,0.4,0.0,0.2,1.0,0.0,0.0,0.0
substrate,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
