,Architecture Switching,Binary Development,Challenge Understanding,Code Readability,Cyber Exploits,Debugging Challenges,Debugging Tools,Decision Influences,Malware Bugs,Security Tools,Tool Support
Architecture Switching,0.0,0.0,0.0,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.0
Binary Development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.0
Challenge Understanding,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,1.0,0.0
Code Readability,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cyber Exploits,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6
Debugging Challenges,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0
Debugging Tools,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.4,0.0,0.0
Decision Influences,0.0,0.0,0.8,0.0,0.6,0.5,0.8,0.0,0.0,0.0,0.25
Malware Bugs,0.0,0.0,0.75,0.2,0.0,0.0,0.8,0.75,0.0,0.0,0.25
Security Tools,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
Tool Support,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
