,Biodiversity & Resilience,Ecosystem Change,Habitat Loss Impacts,Knowledge Gaps,Population Health,Predation & Climate,Resource Management,Weight Management,conservation status,harmful organisms
Biodiversity & Resilience,0.0,0.0,1.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0
Ecosystem Change,-1.0,0.0,-0.8,1.0,0.0,0.0,0.0,0.8,0.0,0.0
Habitat Loss Impacts,1.0,-1.0,0.0,0.0,0.0,0.5,0.6,0.5,-1.0,0.0
Knowledge Gaps,1.0,-0.6,0.0,0.0,1.0,0.0,0.4,0.8,-0.3333333333333333,0.6
Population Health,0.6,0.0,0.0,0.2,0.0,0.4,0.0,0.0,-1.0,0.0
Predation & Climate,0.0,-1.0,0.0,-1.0,0.0,0.0,-0.8,-1.0,-0.8,0.0
Resource Management,1.0,-1.0,0.0,-0.6,0.0,0.0,0.0,0.75,0.0,0.0
Weight Management,-0.4,0.0,0.0,0.4,-0.8,-0.8,0.8,0.0,1.0,0.0
conservation status,-0.8,0.8,-0.6,0.0,0.0,0.2,-0.4,0.4,0.0,0.0
harmful organisms,0.6,-1.0,0.0,-0.6,0.2,0.0,0.0,0.0,-1.0,0.0
