,Code & Data,Debugging,Dynamic Stack,Expert Program Analysis,Hardware Architecture,Python File Handling,Python Tools,Stack Architecture,Time Management,geography
Code & Data,0.0,0.0,0.6,0.0,-0.2,0.0,-0.2,-0.2,0.0,0.0
Debugging,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.6,0.0
Dynamic Stack,0.0,1.0,0.0,-0.3333333333333333,0.4,0.0,0.0,1.0,1.0,0.0
Expert Program Analysis,0.6,0.6,0.0,0.0,0.6,0.6,0.0,1.0,-1.0,0.0
Hardware Architecture,0.6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4,0.0
Python File Handling,1.0,0.0,0.8,0.0,0.6,0.0,0.6,1.0,0.0,0.0
Python Tools,0.0,0.0,0.0,1.0,0.8,0.6,0.0,0.0,0.0,0.0
Stack Architecture,0.8,0.0,0.8,1.0,0.8,0.75,0.8,0.0,0.0,0.0
Time Management,-1.0,-0.2,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,0.0
geography,0.0,0.0,0.0,-1.0,-0.25,0.0,-0.25,0.0,0.0,0.0
