,Biodiversity Metrics,Climate Stressors,Community Health,Eco Resilience,Ecosystem Health,Habitat Conservation,Management Strategies,Managerial Intervention,Marine Biodiversity,Marine Management,Research Collaboration,Tribal Sanctuaries,User Subgroups,community diversity,resilience
Biodiversity Metrics,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Climate Stressors,0.0,0.0,0.0,-0.5,0.0,-1.0,-0.8,0.0,-1.0,0.0,0.0,-0.25,0.0,0.0,0.0
Community Health,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.75,0.0,0.8,0.6,0.0
Eco Resilience,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Ecosystem Health,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
Habitat Conservation,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Management Strategies,0.0,0.0,0.0,0.5,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
Managerial Intervention,0.0,0.0,0.75,0.0,0.0,0.8,0.0,0.0,0.8,0.75,0.6666666666666666,0.0,0.8,0.75,0.0
Marine Biodiversity,0.8,0.0,0.0,0.5,0.6,0.8,0.6,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Marine Management,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Research Collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tribal Sanctuaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User Subgroups,0.6,-0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.6,0.0
community diversity,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resilience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0
