,Bass Migration Trips,Chesapeake Environment,Economic Development,Fish Species,Fishing Practices,Fishing environmental challenges,Guided fishing trips,Market Viability,Online environmental groups,Recreational Fishing,Seasonal wind patterns,Social Consumer Impact,policy impact,travel time
Bass Migration Trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.25
Chesapeake Environment,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.6666666666666666
Economic Development,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish Species,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Fishing Practices,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.0
Fishing environmental challenges,0.0,0.0,0.0,-0.75,-0.6666666666666666,0.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0
Guided fishing trips,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Market Viability,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Online environmental groups,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
Recreational Fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal wind patterns,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Social Consumer Impact,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy impact,0.75,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
travel time,0.0,0.0,-0.3333333333333333,0.0,-1.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0
