,Community Dynamics,Coral Health,Environmental Impacts,Fish Species,Fisheries Industry,Fishery Management,Fishing Communities,Fishing Practices,Government Policies,Marine Research,Marine Threats,Regional Advisory Groups
Community Dynamics,0.0,0.0,0.6666666666666666,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Health,-0.2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Impacts,0.0,0.0,0.0,-0.2,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish Species,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Fisheries Industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0
Fishery Management,0.0,0.0,0.2,0.0,-0.4,0.0,0.0,0.0,0.75,0.0,-0.2,-0.5
Fishing Communities,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-0.2,0.0,0.0,0.0,0.0
Fishing Practices,0.0,0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,-0.5,0.0,0.0,0.0
Government Policies,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.0,0.0
Marine Research,-0.3333333333333333,-0.25,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.25
Marine Threats,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.3333333333333333,0.0,-1.0
Regional Advisory Groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0
