,Aquatic Ecosystems,Biodiversity Impacts,Climate Stressors,Ecosystem Services,Endangered Species Conservation,Fisheries Management,Food Security,ecosystem,ecotourism,ecotourism sector,environmental changes,habitat forming,recreational benefits,waterfront homeowners
Aquatic Ecosystems,0.0,0.8,0.0,0.4,0.0,0.0,-0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
Biodiversity Impacts,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0
Climate Stressors,0.0,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0
Ecosystem Services,0.6666666666666666,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Endangered Species Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0
Food Security,0.0,-0.8,0.0,-0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecosystem,0.0,0.0,0.0,0.0,0.0,0.4,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
ecotourism,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.5,0.75
ecotourism sector,0.0,0.0,0.0,0.0,0.0,0.6,-0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0
environmental changes,-0.5,-0.4,0.0,0.0,-0.6,0.0,0.0,-1.0,-0.2,-0.6666666666666666,0.0,0.0,0.0,-0.3333333333333333
habitat forming,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
recreational benefits,0.0,0.0,0.8,0.8,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waterfront homeowners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
