,Coastal Ecosystems,Coastal Locations,Dolphin Cruises,Economic and Social Impacts,Environmental Factors,Fish Species,Fishing Activities,Fishing Regulations,Government Regulations,Island Activities,Leisure Cruises,Marine Conservation,Social Media Reviews,marine recreational activities
Coastal Ecosystems,0.0,0.6666666666666666,0.8,0.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
Coastal Locations,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Dolphin Cruises,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Economic and Social Impacts,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0
Environmental Factors,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish Species,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Fishing Activities,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0
Fishing Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Government Regulations,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Island Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0
Leisure Cruises,0.0,0.0,0.75,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.0
Marine Conservation,0.0,0.0,0.0,0.75,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
Social Media Reviews,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0
marine recreational activities,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.6,0.6,0.0
