,Biodiversity Conservation,Ecosystem Assessment,Ecosystem Health,Energy and Impact,Environmental Conditions,Environmental Justice,Impact Assessments,Key Species Roles,Offshore Wind Operations,Recreational Ecosystem,Research and Policy,Stakeholder Collaboration,spatial modeling
Biodiversity Conservation,0.0,0.0,0.0,-0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75
Ecosystem Assessment,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5
Ecosystem Health,0.0,0.0,0.0,0.25,0.0,0.75,0.75,1.0,0.0,0.75,0.0,1.0,0.0
Energy and Impact,-0.6,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.3333333333333333
Environmental Conditions,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
Environmental Justice,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.8
Impact Assessments,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Key Species Roles,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75
Offshore Wind Operations,0.0,0.75,-0.25,0.6,0.0,0.0,0.75,-0.25,0.0,0.0,0.0,0.0,0.0
Recreational Ecosystem,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0
Research and Policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stakeholder Collaboration,0.0,0.0,0.5,1.0,0.3333333333333333,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
spatial modeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.5,0.0,0.0,0.0
