,key food web supporting species,species of conservation concern,harmful organisms (to humans),species diversity (of sharks),gamma diversity (geographic-scale),single species management,sedar 77 report cards,ebfm,multispecies management,rec fishermen,commercial fishermen,charter/for-hire
key food web supporting species,0,1,1,1,1,-1,-1,1,1,0,0,0
species of conservation concern,-1,0,1,1,1,1,1,-1,-1,1,-1,-1
harmful organisms (to humans),0,0,0,1,1,0,0,0,0,-1,0,0
species diversity (of sharks),1,1,1,0,1,-1,-1,-1,-1,1,1,1
gamma diversity (geographic-scale),1,1,1,1,0,-1,-1,-1,-1,1,1,1
single species management,1,1,0,1,1,0,1,1,1,0,0,0
sedar 77 report cards,1,1,1,0,0,1,0,1,1,0,0,0
ebfm,1,1,1,1,1,0,0,0,1,0,0,0
multispecies management,1,1,1,1,1,0,0,1,0,0,0,0
rec fishermen,0,0,0,0,0,0,0,0,0,0,0,0
commercial fishermen,0,0,0,0,0,0,0,0,0,0,0,0
charter/for-hire,0,0,0,0,0,0,0,0,0,0,0,0
