,Biodiversity Conservation,Coastal Hazards,Coastal Risk,Ecosystem Health,Environmental Stressors,Food Web Dynamics,Marine Ecology,Marine Policy & Impacts,Oyster Reefs,Wetland Management,coral reefs,management approaches,pollutant spills
Biodiversity Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6666666666666666
Coastal Hazards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coastal Risk,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecosystem Health,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.0
Environmental Stressors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Food Web Dynamics,1.0,0.0,0.0,0.4,0.0,0.0,0.6,0.5,0.0,0.0,1.0,0.0,0.0
Marine Ecology,-0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
Marine Policy & Impacts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Oyster Reefs,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wetland Management,-0.6,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
coral reefs,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
management approaches,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.6666666666666666,0.0,0.0
pollutant spills,0.0,1.0,0.0,-0.4,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
