,Bay Restoration,Conservation Goals,Ecosystem Health,Ecosystem Restoration,Estuary Water Quality,Fisheries Management,Grant Funding,Oyster & Marine Restoration,Resource Impacts,Resource Users,federal-state partnership,stewardship fund
Bay Restoration,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Conservation Goals,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0
Ecosystem Health,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Ecosystem Restoration,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Estuary Water Quality,0.8,1.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,0.8,0.0,0.0
Fisheries Management,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grant Funding,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Oyster & Marine Restoration,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Resource Impacts,1.0,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Users,1.0,0.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,0.0
federal-state partnership,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
stewardship fund,0.0,1.0,0.0,0.8,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.0
