,Biodiversity and Conservation,Community Diversity,Community Perspectives,Construction Planning,Ecosystem Assessment,Ecosystem Health,Ecosystem Perspectives,Environmental Conditions & Impacts,Monitoring Tools & Methods,Offshore Wind Stakeholders,Policy and Management Systems,Stakeholder Involvement,collaborative setting,ecosystem services
Biodiversity and Conservation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Community Diversity,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Community Perspectives,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
Construction Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0
Ecosystem Assessment,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Ecosystem Health,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Ecosystem Perspectives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.25,0.0,0.0
Environmental Conditions & Impacts,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitoring Tools & Methods,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Offshore Wind Stakeholders,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Policy and Management Systems,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Stakeholder Involvement,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
collaborative setting,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ecosystem services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
