,Benthic Assessment,Ecosystem Health,Habitat Biodiversity,Mental Decision-Making,Nutrient Pollution,cmecs,development,functional groups,management approaches,species diversity
Benthic Assessment,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0
Ecosystem Health,-1.0,0.0,-0.2,-1.0,-1.0,0.0,0.4,-1.0,0.0,-1.0
Habitat Biodiversity,1.0,-1.0,0.0,1.0,0.0,0.0,-0.75,0.0,0.0,0.8
Mental Decision-Making,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nutrient Pollution,1.0,0.0,0.0,1.0,0.0,0.75,-1.0,1.0,1.0,0.0
cmecs,1.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,1.0
development,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
functional groups,1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0
management approaches,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
species diversity,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0
