,Coral Habitats,Ecosystem Dynamics,Fisheries Regulation,Genetic Biodiversity,Habitat Management,Management Policies,Marine Conservation,Marine Life,Species Abundance,Species Management,ecosystem function,ecosystem management,ecosystems,harmful organisms,human behavior
Coral Habitats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ecosystem Dynamics,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisheries Regulation,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.6,0.3333333333333333,0.0,0.0,0.6,-0.6,1.0,0.0
Genetic Biodiversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,-0.6,0.0
Habitat Management,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0
Management Policies,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6,0.0
Marine Conservation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,1.0,0.0,0.0,0.0
Species Abundance,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2,0.0,0.0,1.0,0.0,0.0
Species Management,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
ecosystem function,0.0,0.0,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecosystem management,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ecosystems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
harmful organisms,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0
human behavior,0.0,-0.3333333333333333,-0.6,0.0,0.0,0.2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
