,Economic & Social Impact,Environmental Stewardship,Marine Enforcement,Marine Wildlife,Ocean Stewardship,Social Ecology,biodiversity,business ethics,fishing charters,seagrass
Economic & Social Impact,0.0,0.5,0.4,0.0,0.4,0.25,0.6,0.2,0.0,0.4
Environmental Stewardship,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8,0.8,1.0
Marine Enforcement,0.4,0.6,0.0,0.6,0.0,0.0,0.0,0.75,0.0,1.0
Marine Wildlife,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0
Ocean Stewardship,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Social Ecology,0.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.8
biodiversity,0.8,0.0,1.0,0.0,0.0,0.75,0.0,0.8,0.0,1.0
business ethics,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
fishing charters,0.75,0.8,1.0,1.0,1.0,0.6,0.6,0.0,0.0,0.0
seagrass,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
