,**Trophic Levels**,Biodiversity Types,Breeding Operations,Business Networks,Commercial Operations,Environmental Stressors,Growth Health,Oyster Farming,Physical Characteristics,Regulatory Bodies,Research Systems,fisheries management
**Trophic Levels**,0.0,-0.4,0.25,0.0,0.25,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Biodiversity Types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Breeding Operations,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business Networks,0.0,0.4,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.5,0.0
Commercial Operations,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Environmental Stressors,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.8,0.0,0.0
Growth Health,0.2,0.0,0.0,-0.5,-0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Oyster Farming,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Physical Characteristics,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.4
Regulatory Bodies,1.0,0.0,-0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Research Systems,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
fisheries management,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0
