,Chesapeake Funders,Conservation Stakeholders,Core Stressors,Ecosystem Modeling,Environmental Organizations,Environmental Threats,Fisheries Management,Key Species,Marine Conservation,Marine Resources,Research Institutions,Science Policy Analysis,Species Biodiversity,Sustainable Projects,human consumption
Chesapeake Funders,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conservation Stakeholders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.2,0.0,0.0
Core Stressors,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
Ecosystem Modeling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Organizations,0.0,0.4,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0
Environmental Threats,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.25,-0.6666666666666666,0.0,0.0,0.0,-0.25,-0.6,0.0
Fisheries Management,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.0,0.0,0.0,0.4,0.0
Key Species,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6
Marine Conservation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Marine Resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Science Policy Analysis,0.0,0.4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0
Species Biodiversity,0.25,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sustainable Projects,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
human consumption,0.0,0.0,0.0,0.0,-1.0,-0.25,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
