model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,BD008,0.3316412859560068,13.0,12.0,30.0,49.0,0.6,1.0,1.1,30.0,96.0,11.0,55.0
gemini-1.5-flash,BD015,0.5438996579247435,20.0,7.0,22.0,18.0,0.6,1.0,1.1,8.0,44.0,8.0,49.0
gemini-1.5-flash,BD023,0.5540796963946869,27.0,4.0,31.0,16.0,0.6,1.0,1.1,22.0,34.0,16.0,62.0
gemini-1.5-flash,BD029,0.3880208333333333,5.0,18.0,24.0,23.0,0.6,1.0,1.1,30.0,36.0,10.0,47.0
gemini-1.5-flash,BD033,0.4659090909090909,15.0,10.0,28.0,19.0,0.6,1.0,1.1,27.0,34.0,10.0,53.0
gemini-1.5-flash,BD034,0.5435684647302904,18.0,3.0,21.0,12.0,0.6,1.0,1.1,15.0,38.0,7.0,42.0
gemini-1.5-flash,BD043,0.417989417989418,16.0,14.0,21.0,45.0,0.6,1.0,1.1,20.0,99.0,9.0,51.0
gemini-1.5-flash,BD045,0.4506866416978777,12.0,11.0,25.0,19.0,0.6,1.0,1.1,22.0,32.0,8.0,48.0
gemini-1.5-flash,BD046,0.4148471615720524,21.0,5.0,32.0,35.0,0.6,1.0,1.1,33.0,51.0,15.0,58.0
gemini-1.5-flash,BD053,0.5090715048025614,20.0,7.0,30.0,16.0,0.6,1.0,1.1,26.0,32.0,12.0,57.0
gemini-1.5-flash,BD056,0.45750452079566,22.0,6.0,32.0,28.0,0.6,1.0,1.1,22.0,59.0,24.0,60.0
gemini-1.5-flash,BD059,0.5217391304347826,24.0,0.0,25.0,19.0,0.6,1.0,1.1,18.0,33.0,8.0,49.0
gemini-1.5-flash,BD061,0.47,18.0,10.0,28.0,25.0,0.6,1.0,1.1,19.0,40.0,13.0,56.0
gemini-1.5-flash,BD063,0.4391408114558472,14.0,8.0,26.0,21.0,0.6,1.0,1.1,27.0,37.0,13.0,48.0
gemini-1.5-flash,BD076,0.40625,14.0,10.0,25.0,32.0,0.6,1.0,1.1,36.0,56.0,9.0,49.0
gemini-1.5-flash,BD081,0.4726749760306807,23.0,3.0,34.0,21.0,0.6,1.0,1.1,30.0,39.0,18.0,60.0
gemini-1.5-flash,BD082,0.443254817987152,13.0,14.0,23.0,29.0,0.6,1.0,1.1,34.0,44.0,8.0,50.0
gemini-1.5-flash,BD083,0.3223819301848049,8.0,14.0,29.0,37.0,0.6,1.0,1.1,39.0,53.0,9.0,51.0
gemini-1.5-flash,BD084,0.2967032967032967,8.0,10.0,32.0,32.0,0.6,1.0,1.1,28.0,40.0,8.0,50.0
gemini-1.5-flash,BD086,0.3665158371040724,14.0,4.0,32.0,24.0,0.6,1.0,1.1,28.0,41.0,11.0,50.0
gemini-1.5-flash,BD088,0.3740685543964233,12.0,1.0,17.0,25.0,0.6,1.0,1.1,32.0,40.0,6.0,30.0
gemini-1.5-flash,BD089,0.506416584402764,24.0,3.0,20.0,30.0,0.6,1.0,1.1,35.0,42.0,8.0,47.0
gemini-2.0-flash,BD008,0.255079006772009,8.0,6.0,18.0,48.0,0.6,1.0,1.1,30.0,96.0,14.0,32.0
gemini-2.0-flash,BD015,0.4444444444444444,10.0,0.0,7.0,18.0,0.6,1.0,1.1,8.0,44.0,7.0,17.0
gemini-2.0-flash,BD023,0.25,5.0,0.0,8.0,22.0,0.6,1.0,1.1,22.0,34.0,9.0,13.0
gemini-2.0-flash,BD029,0.2872570194384449,5.0,3.0,8.0,25.0,0.6,1.0,1.1,30.0,36.0,6.0,16.0
gemini-2.0-flash,BD033,0.3577981651376147,7.0,5.0,15.0,20.0,0.6,1.0,1.1,27.0,34.0,12.0,27.0
gemini-2.0-flash,BD034,0.5575221238938053,23.0,4.0,29.0,11.0,0.6,1.0,1.1,15.0,38.0,24.0,56.0
gemini-2.0-flash,BD043,0.3404461687681863,17.0,1.0,23.0,45.0,0.6,1.0,1.1,20.0,99.0,9.0,41.0
gemini-2.0-flash,BD045,0.3715083798882682,10.0,6.0,26.0,19.0,0.6,1.0,1.1,22.0,32.0,25.0,42.0
gemini-2.0-flash,BD046,0.2751479289940828,6.0,6.0,12.0,37.0,0.6,1.0,1.1,33.0,51.0,8.0,24.0
gemini-2.0-flash,BD053,0.064516129032258,1.0,0.0,7.0,22.0,0.6,1.0,1.1,26.0,32.0,7.0,8.0
gemini-2.0-flash,BD056,0.3902439024390243,17.0,4.0,32.0,28.0,0.6,1.0,1.1,22.0,59.0,32.0,53.0
gemini-2.0-flash,BD059,0.4054878048780488,10.0,6.0,19.0,20.0,0.6,1.0,1.1,18.0,33.0,10.0,35.0
gemini-2.0-flash,BD061,0.4387755102040817,29.0,2.0,52.0,25.0,0.6,1.0,1.1,19.0,40.0,34.0,83.0
gemini-2.0-flash,BD063,0.4450736126840316,18.0,3.0,23.0,26.0,0.6,1.0,1.1,27.0,37.0,8.0,44.0
gemini-2.0-flash,BD076,0.3141592920353982,12.0,4.0,29.0,33.0,0.6,1.0,1.1,36.0,56.0,29.0,45.0
gemini-2.0-flash,BD081,0.4126984126984127,13.0,0.0,17.0,20.0,0.6,1.0,1.1,30.0,39.0,12.0,30.0
gemini-2.0-flash,BD082,0.3864370290635091,13.0,9.0,30.0,27.0,0.6,1.0,1.1,34.0,44.0,26.0,52.0
gemini-2.0-flash,BD083,0.2649310872894334,7.0,3.0,11.0,37.0,0.6,1.0,1.1,39.0,53.0,7.0,21.0
