dataset,best_model,best_F1
BD008,gpt-4.1-mini,0.3879615579160344
BD015,gemini-1.5-flash,0.5438996579247435
BD023,gemini-1.5-flash,0.5540796963946869
BD029,gemini-1.5-flash,0.3880208333333333
BD033,gemini-1.5-flash,0.4659090909090909
BD034,gpt-4.1,0.5647193585337915
BD043,gemini-1.5-flash,0.417989417989418
BD045,gpt-4.1-mini,0.4883303411131059
BD046,gemini-1.5-flash,0.4148471615720524
BD053,gpt-4o,0.5353982300884955
BD056,gemini-1.5-flash,0.45750452079566
BD059,gemini-1.5-flash,0.5217391304347826
BD061,gpt-5,0.4748240389821332
BD063,gemini-2.0-flash,0.4450736126840316
BD076,gemini-1.5-flash,0.40625
BD081,gpt-4.1-mini,0.5301204819277109
BD082,gpt-5,0.4670280036133695
BD083,gpt-4.1-mini,0.3842105263157894
BD084,gpt-5,0.3504736129905277
BD086,gpt-4.1,0.5056818181818182
BD088,gemini-2.0-flash,0.6339434276206323
BD089,gemini-1.5-flash,0.506416584402764
