,Biodiversity Conservation,Coastal Biodiversity,Environmental Change,Fisheries Management,Fishery Habitats,Habitat Restoration,Invasive Species,Mental Modeling,Shoreline Management,Species Management,Stakeholder Engagement,Stakeholder Outreach
Biodiversity Conservation,0.0,0.0,0.0,-0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coastal Biodiversity,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
Environmental Change,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Fisheries Management,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Fishery Habitats,-1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
Habitat Restoration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0
Invasive Species,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Mental Modeling,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
Shoreline Management,-0.6,0.0,1.0,0.8,0.6,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Species Management,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0
Stakeholder Engagement,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Stakeholder Outreach,-1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.0,0.6,1.0,0.0,0.0
