,Coastal Ecosystem Health,Ecosystem Conservation,Geospatial Data,Habitat Biodiversity,Invasive Species,Key Species,Management Actions,Marine Conservation,Marine Stakeholder Stress,ecosystem restoration,fisheries policy,harmful organisms,natural inventory
Coastal Ecosystem Health,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ecosystem Conservation,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0
Geospatial Data,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Habitat Biodiversity,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
Invasive Species,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Key Species,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Management Actions,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
Marine Conservation,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Marine Stakeholder Stress,0.0,0.0,0.0,0.0,-0.6,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
ecosystem restoration,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0
fisheries policy,1.0,0.0,0.0,0.0,-0.2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
harmful organisms,0.0,0.0,0.0,-1.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural inventory,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
