,Economic Costs,Fishing Regulations,Government Regulation,Habitat Impacts,Marine Fish Behavior,Social Influence,Stakeholder Engagement,Sustainable Fisheries,Vessel Monitoring,fishermen network
Economic Costs,0.0,1.0,1.0,0.0,0.0,0.8,0.75,0.8,1.0,0.0
Fishing Regulations,0.8,0.0,0.0,0.0,0.75,0.0,-0.5,0.0,0.4,0.8
Government Regulation,1.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.8,0.0
Habitat Impacts,0.0,0.0,-0.6,0.0,-1.0,-0.8,-0.2,-0.8,0.0,-0.8
Marine Fish Behavior,0.8,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Social Influence,0.8,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Stakeholder Engagement,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6666666666666666
Sustainable Fisheries,1.0,0.8,0.0,-1.0,0.8,0.4,0.0,0.0,0.75,0.0
Vessel Monitoring,0.8,-0.25,0.75,-0.8,0.0,0.2,0.0,0.0,0.0,0.0
fishermen network,1.0,1.0,0.75,0.0,0.4,0.0,0.0,0.8,0.0,0.0
