,size of farms - kelp mariculture,spillover effects (halo effect),marine mammals populations,forage fish,benthic inverts,fouling communities,farm consultations and permitting,mmpa,msa (regarding efh),data gaps,esa,# of farms - kelp mariculture,connectivity,marine mammals entanglement risk,rockfish,salmon,ciliates / disease,kelp product quality,preserving native genetic diversity,army corps,ak dept of fish & game
size of farms - kelp mariculture,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
spillover effects (halo effect),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marine mammals populations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forage fish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic inverts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fouling communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm consultations and permitting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmpa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msa (regarding efh),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data gaps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# of farms - kelp mariculture,0,1,1,1,1,-1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
connectivity,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marine mammals entanglement risk,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciliates / disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
kelp product quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserving native genetic diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
army corps,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak dept of fish & game,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
