,species of conservation concern,harmful organisms (to people),key food web supporting species,appropriate presence/absence of organisms,fishery management plans,long-term habitat forming species,short-term habitat forming species,omnivorous/generalist species,abundance of prey species,multi-species management,nepa processes,msa reauthorization,mmpa,ebfm,further improvements to msa,harmful organisms (to ecosystems),genetic diversity,extracted/harvested species,fishing regulations
species of conservation concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms (to people),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appropriate presence/absence of organisms,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fishery management plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long-term habitat forming species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
short-term habitat forming species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omnivorous/generalist species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abundance of prey species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multi-species management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nepa processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msa reauthorization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebfm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
further improvements to msa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms (to ecosystems),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genetic diversity,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
extracted/harvested species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing regulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
