,biodiversity,global biodiversity observing system,climate change,habitat degradation,national marine sanctuaries (bottom-up approach),slow process of esa listing,slow management response,energy flow processes,harmful organisms,key foodweb supporting species,habitat forming species,species of conservation concern,incorporating local sectors and communities,co-monitoring/co-management
biodiversity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
global biodiversity observing system,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climate change,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
habitat degradation,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
national marine sanctuaries (bottom-up approach),1,0,0,0,0,0,0,0,0,0,0,0,1,0
slow process of esa listing,0,0,0,0,0,0,1,0,0,0,0,0,0,0
slow management response,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
energy flow processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms,1,0,0,0,0,0,0,0,0,0,0,0,0,0
key foodweb supporting species,1,0,0,0,0,0,0,0,0,0,0,0,0,0
habitat forming species,1,0,0,0,0,0,0,0,0,0,0,0,0,0
species of conservation concern,1,0,0,0,0,0,0,0,0,0,0,0,0,0
incorporating local sectors and communities,0,0,0,0,0,0,0,0,0,0,0,0,0,1
co-monitoring/co-management,1,0,0,0,0,0,0,0,0,0,0,0,0,0
