,species diversity,genetic diversity,community diversity,diversity of human communities,resilience,stressors,ecosystem function,human health/well-being,adaptation,quantifiable benefits,biodiversity data,baseline ecosystem data,societal preference (for target biodiversity) data,effective management policies,understanding of biodiversity impacts
species diversity,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genetic diversity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
community diversity,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
diversity of human communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stressors,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
ecosystem function,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
human health/well-being,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaptation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
quantifiable benefits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
biodiversity data,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
baseline ecosystem data,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
societal preference (for target biodiversity) data,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
effective management policies,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
understanding of biodiversity impacts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
