,Biodiversity Framework,Biodiversity and Carbon,Climate Impact,Coastal Ecosystem Management,Coastal Project Planning,Cultural and Environmental Preservation,Environmental Ecology,Food Web Dynamics,Habitat and Water Quality,Marine Species and Management,Sea Level and Wildlife,Species Conservation,Stakeholder Engagement,Waterfront Stakeholders,ecotourism,habitat-forming species
Biodiversity Framework,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Biodiversity and Carbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Climate Impact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.2,0.0,0.0,-1.0,0.0,0.0
Coastal Ecosystem Management,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coastal Project Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.25,0.0
Cultural and Environmental Preservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Environmental Ecology,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Food Web Dynamics,0.0,0.0,0.0,0.0,0.0,-0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habitat and Water Quality,0.0,-1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.0,0.0
Marine Species and Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Level and Wildlife,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Species Conservation,0.0,0.0,-0.4,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
Stakeholder Engagement,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfront Stakeholders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
ecotourism,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
habitat-forming species,0.0,1.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
