,overall ecosystem health,coastal / marine biodiversity,aesthetic value,human health & well-being,key food web supporting species,habitat-forming species,species of greatest conservation needs & listed species,harmful organisms,shorebirds,vegetation,seabirds,slr,climate change,marsh elevation with thin layer deposition,"artificial, existing structures for habitat",artificial island creation with dredge material,"long-legged wading birds (herons, egrets, etc.)","marsh-dependent birds (rails, sparrows, etc.)",warming temps,prey abundance,traditional prey distribution shifts,new forage species from distribution shifts
overall ecosystem health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal / marine biodiversity,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aesthetic value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human health & well-being,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
habitat-forming species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species of greatest conservation needs & listed species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shorebirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slr,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0
climate change,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0
marsh elevation with thin layer deposition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"artificial, existing structures for habitat",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
artificial island creation with dredge material,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"long-legged wading birds (herons, egrets, etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"marsh-dependent birds (rails, sparrows, etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warming temps,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
prey abundance,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
traditional prey distribution shifts,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
new forage species from distribution shifts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
