,species of conservation concern,habitat forming species,key food web supporting species,harmful organisms,number of species on earth,functional role species & communities,intrinsic diversity,ecological resilience,extrinsic diversity,coral reef management,"single species management (fish, birds, etc.)",edna,biodiversity assessments,biodiversity monitoring,paleo record
species of conservation concern,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
habitat forming species,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
harmful organisms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
number of species on earth,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
functional role species & communities,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
intrinsic diversity,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ecological resilience,1,1,1,0,1,1,1,0,1,-1,-1,0,0,0,0
extrinsic diversity,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coral reef management,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"single species management (fish, birds, etc.)",1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
edna,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
biodiversity assessments,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
biodiversity monitoring,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
paleo record,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
