,number of species,diversity of functions - ecosystem services (for people),habitat-forming species,diversity of functions - ecosystem roles / variety of sp traits,species of conservation concern,key food web supporting species,harmful organisms,recreational / cultural benefits,food benefits (for people),single species fisheries management,ngos,ecotourism sector,fishing sector / economics,human well-being,endangered sp management,human-wildlife conflict,water quality,water quantity & flow / availability
number of species,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
diversity of functions - ecosystem services (for people),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
habitat-forming species,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
diversity of functions - ecosystem roles / variety of sp traits,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
species of conservation concern,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
harmful organisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recreational / cultural benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food benefits (for people),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single species fisheries management,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ngos,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ecotourism sector,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fishing sector / economics,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
human well-being,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endangered sp management,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
human-wildlife conflict,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
water quality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water quantity & flow / availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
