,co-benefits of living shorelines,diversity of plants & animals,habitat-forming species,key food web supporting species,sp of conservation concern,harmful organisms,living shorelines,living shorelines act,bulkheads,better living shoreline implementation guidelines,removing permitting hurdles / obstacles,habitat creation,carbon storage,water quality improvement,"waterfront residents, businesses",flooding,watermen,tourists,slr,climate change
co-benefits of living shorelines,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
diversity of plants & animals,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
habitat-forming species,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
key food web supporting species,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
sp of conservation concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
living shorelines,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
living shorelines act,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
bulkheads,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,1,0,-1,1,0,0
better living shoreline implementation guidelines,1,0,0,0,0,0,1,0,-1,0,1,0,0,0,1,0,0,0,0,0
removing permitting hurdles / obstacles,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0
habitat creation,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon storage,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
water quality improvement,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"waterfront residents, businesses",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
flooding,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watermen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tourists,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0
slr,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,0
climate change,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,1,0
