dataset,best_model,best_F1
100,gpt-4.1,0.2803504380475594
101,gpt-4.1,0.4786729857819904
102,gpt-4.1,0.1507430997876857
103,gpt-4.1,0.0996784565916398
104,gpt-4.1,0.2
105,gpt-4.1,0.2490494296577946
107,gpt-4.1,0.1850828729281768
108,gpt-4.1,0.2564102564102564
109,gpt-4.1,0.0425531914893617
110,gpt-4.1,0.2083333333333333
111,gpt-4.1,0.3530499075785582
112,gpt-4.1,0.3841642228739003
113,gpt-4.1,0.3450292397660818
114,gpt-4.1,0.4469026548672566
115,gpt-4.1,0.3244304791830322
117,gpt-4.1,0.0792838874680307
118,gpt-4.1,0.1211401425178147
119,gpt-4.1,0.2558613659531091
120,gpt-4.1,0.1416893732970027
121,gpt-4.1,0.3236212278876171
122,gpt-4.1,0.3470790378006873
123,gpt-4.1,0.1816367265469061
124,gpt-4.1,0.053030303030303
125,gpt-4.1,0.0
126,gpt-4.1,0.3131868131868132
127,gpt-4.1,0.3865628042843232
128,gpt-4.1,0.3157519600855309
129,gpt-4.1,0.2920353982300885
130,gpt-4.1,0.0653008962868117
131,gpt-4.1,0.3532338308457711
132,gpt-4.1,0.3190998268897864
133,gpt-4.1,0.0
134,gpt-4.1,0.0425531914893617
135,gpt-4.1,0.3266253869969041
136,gpt-4.1,0.2892561983471074
137,gpt-4.1,0.3665158371040724
138,gpt-4.1,0.3886966551326413
139,gpt-4.1,0.0
140,gpt-4.1,0.1521197007481296
141,gpt-4.1,0.413265306122449
143,gpt-4.1,0.2555831265508685
144,gpt-4.1,0.3607954545454545
145,gpt-4.1,0.131578947368421
146,gpt-4.1,0.3306772908366533
147,gpt-4.1,0.1257668711656441
148,gpt-4.1,0.4475138121546961
149,gpt-4.1,0.2857142857142856
150,gpt-4.1,0.0377358490566037
151,gpt-4.1,0.4301470588235294
152,gpt-4.1,0.2385786802030456
153,gpt-4.1,0.0960451977401129
