model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1,100,0.2803504380475594,18.0,8.0,84.0,31.0,0.6,1.0,1.1,36.0,57.0,89.0,110.0
gpt-4.1,101,0.4786729857819904,9.0,2.0,9.0,13.0,0.6,1.0,1.1,14.0,24.0,5.0,20.0
gpt-4.1,102,0.1507430997876857,3.0,1.0,8.0,32.0,0.6,1.0,1.1,15.0,36.0,4.0,12.0
gpt-4.1,103,0.0996784565916398,1.0,1.0,2.0,26.0,0.6,1.0,1.1,13.0,28.0,3.0,4.0
gpt-4.1,104,0.2,3.0,0.0,3.0,21.0,0.6,1.0,1.1,14.0,24.0,3.0,6.0
gpt-4.1,105,0.2490494296577946,12.0,2.0,64.0,15.0,0.6,1.0,1.1,14.0,29.0,35.0,78.0
gpt-4.1,107,0.1850828729281768,9.0,8.0,38.0,80.0,0.6,1.0,1.1,45.0,97.0,20.0,55.0
gpt-4.1,108,0.2564102564102564,5.0,0.0,6.0,23.0,0.6,1.0,1.1,20.0,28.0,4.0,11.0
gpt-4.1,109,0.0425531914893617,1.0,0.0,0.0,45.0,0.6,1.0,1.1,21.0,46.0,2.0,1.0
gpt-4.1,110,0.2083333333333333,5.0,0.0,6.0,32.0,0.6,1.0,1.1,17.0,37.0,4.0,11.0
gpt-4.1,111,0.3530499075785582,9.0,1.0,9.0,26.0,0.6,1.0,1.1,25.0,36.0,5.0,19.0
gpt-4.1,112,0.3841642228739003,6.0,1.0,5.0,16.0,0.6,1.0,1.1,21.0,23.0,4.0,12.0
gpt-4.1,113,0.3450292397660818,12.0,5.0,42.0,14.0,0.6,1.0,1.1,18.0,31.0,25.0,59.0
gpt-4.1,114,0.4469026548672566,18.0,4.0,27.0,23.0,0.6,1.0,1.1,29.0,45.0,9.0,49.0
gpt-4.1,115,0.3244304791830322,19.0,3.0,57.0,29.0,0.6,1.0,1.1,22.0,51.0,44.0,79.0
gpt-4.1,117,0.0792838874680307,1.0,1.0,3.0,33.0,0.6,1.0,1.1,23.0,35.0,3.0,5.0
gpt-4.1,118,0.1211401425178147,2.0,1.0,3.0,34.0,0.6,1.0,1.1,21.0,37.0,3.0,6.0
gpt-4.1,119,0.2558613659531091,12.0,1.0,50.0,23.0,0.6,1.0,1.1,22.0,36.0,31.0,63.0
gpt-4.1,120,0.1416893732970027,3.0,4.0,10.0,53.0,0.6,1.0,1.1,28.0,60.0,5.0,17.0
gpt-4.1,121,0.3236212278876171,15.0,1.0,40.0,25.0,0.6,1.0,1.1,27.0,41.0,18.0,56.0
gpt-4.1,122,0.3470790378006873,9.0,2.0,8.0,30.0,0.6,1.0,1.1,21.0,41.0,8.0,19.0
gpt-4.1,123,0.1816367265469061,4.0,1.0,7.0,34.0,0.6,1.0,1.1,22.0,39.0,4.0,12.0
gpt-4.1,124,0.053030303030303,1.0,2.0,5.0,70.0,0.6,1.0,1.1,32.0,73.0,8.0,8.0
