,Biodiversity Impact,Climate & Weather,Commercial Fishing,Fishing Activities,Fishing Success,Food Ecosystem,Freshwater Impacts,Habitat & Spawning,Habitat Quality,Invasive Fish Impacts,Kayaking Access,Marine Resources,Maryland Locations,Maryland Waterways,Research & Fishing,Species Focus,mercury levels,taste preference
Biodiversity Impact,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate & Weather,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Fishing Activities,-0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing Success,0.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.5,0.0,0.0,0.8,0.6666666666666666,0.0,0.6,0.0,0.0,1.0,1.0,0.0
Food Ecosystem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Freshwater Impacts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habitat & Spawning,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Habitat Quality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invasive Fish Impacts,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,-0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6
Kayaking Access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Resources,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland Locations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland Waterways,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Research & Fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Species Focus,0.6,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mercury levels,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
taste preference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
