,Fishery Management,Government Oversight,Government Regulation,Ocean Threats,Resource Conflicts,Social Dynamics,Tourism Impact,USVI Fisheries Conflict,coral reef health,enforcement challenges,fisher relationships,magnuson-stevens act
Fishery Management,0.0,0.0,0.0,1.0,0.4,-1.0,-0.2,0.0,0.0,0.0,0.6,0.6
Government Oversight,0.6,0.0,0.6,0.75,0.0,-0.3333333333333333,0.0,0.4,0.0,1.0,0.0,0.0
Government Regulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ocean Threats,0.0,-0.6,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.2,-0.8,0.0
Resource Conflicts,0.0,0.6666666666666666,0.0,0.0,0.0,0.2,0.6666666666666666,0.0,-0.2,0.0,1.0,0.4
Social Dynamics,0.6,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
Tourism Impact,-0.6,-1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
USVI Fisheries Conflict,0.6,0.0,0.0,0.0,0.0,1.0,0.8,0.0,-1.0,0.0,0.0,1.0
coral reef health,0.0,0.0,0.5,0.25,0.0,-1.0,0.0,-1.0,0.0,0.75,0.0,0.0
enforcement challenges,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0
fisher relationships,0.75,0.4,-0.5,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magnuson-stevens act,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-0.8,0.6,0.0,-1.0,0.0
