,Boat Affordability,Business Acumen,Career & Management,Community & Growth,Environment & Location,Fishing Information,Flounder Decline Factors,Holistic Life Success,Marine Ecosystem,New Business Focus,customers,financial impact,meat-haulers
Boat Affordability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
Business Acumen,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Career & Management,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Community & Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environment & Location,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fishing Information,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Flounder Decline Factors,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Holistic Life Success,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.75,1.0,1.0,1.0,-0.2
Marine Ecosystem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
New Business Focus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
customers,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0
financial impact,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0
meat-haulers,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
