,basic needs,community networks,food access,food affordability,food education,modern conveniences,retail types,simple food,survival skills,urban agriculture,urban gardening
basic needs,0.0,0.0,1.0,1.0,0.0,-0.2,1.0,0.0,0.0,1.0,1.0
community networks,1.0,0.0,1.0,1.0,0.0,-0.4,0.0,0.0,0.0,1.0,0.0
food access,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
food affordability,0.0,0.0,0.0,0.0,1.0,-0.8,0.6,0.0,0.0,0.6,0.2
food education,1.0,0.0,1.0,1.0,0.0,-0.3333333333333333,0.0,1.0,1.0,0.0,1.0
modern conveniences,0.0,0.0,0.0,-1.0,-0.4,0.0,0.3333333333333333,-1.0,0.0,-1.0,-1.0
retail types,1.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
simple food,0.0,0.0,0.0,1.0,0.0,-0.75,0.0,0.0,1.0,0.0,1.0
survival skills,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
urban agriculture,1.0,1.0,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.0
urban gardening,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
