dataset,count,mean,median,std,min,max,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high
pr-academics,6,0.14986505367786399,0.14888420646558365,0.03908622555649913,0.1124744376278118,0.1878425510712506,0.10884657554986055,0.19088353180586742,0.12493836949111421,0.1752165004925963
pr-businesses,6,0.07229291347357612,0.0473425142414689,0.08255228392408875,0.0,0.2207792207792208,-0.014340395431174935,0.15892622237832718,0.0203020053636791,0.13767373588802156
pr-fishers,6,0.05291744554027425,0.06482939230333695,0.03375803673923034,0.0053501945525291,0.0832781091230395,0.017490558653207908,0.08834433242734059,0.02752190718505095,0.07596767051324499
pr-managers,6,0.13857053659831395,0.1508704315452781,0.03959560255513844,0.06288532675709,0.1730474732006126,0.09701750009379517,0.18012357310283272,0.1064614121592871,0.1617589052620768
pr-ngos,6,0.1402458146017454,0.15570604481727335,0.06373200636950857,0.0355329949238578,0.2006437768240343,0.07336317571550523,0.2071284534879856,0.08988943032078701,0.1815672474450786
usvi-academics,6,0.17113911170124185,0.18546637870041086,0.08664873356363452,0.0606200832947709,0.2821088053841839,0.0802068425477124,0.26207138085477133,0.10775758566856776,0.23220676440815535
usvi-businesses,6,0.12060280685087961,0.1264583625324375,0.06674282560314584,0.0260545905707196,0.2065868263473054,0.050560506955576165,0.19064510674618307,0.07164125589494642,0.16861333760050143
usvi-dap,6,0.0810702291289967,0.06478863559406314,0.034290290372053944,0.0476190476190476,0.1297322253000923,0.04508477631018116,0.11705568194781224,0.057911798747372144,0.10629354814342584
usvi-fishers,6,0.22736467683348702,0.22593427614948408,0.06938417980832468,0.1249207355738744,0.3207855973813421,0.15455044569767978,0.30017890796929425,0.17575253064057597,0.2759088266920204
usvi-managers,6,0.20285219849965494,0.21724778621125868,0.0688412933837621,0.1,0.273356401384083,0.13060769172619938,0.2750967052731105,0.15144373579935327,0.2500549353280919
usvi-ngos,6,0.19316797826767865,0.198752970982278,0.05432924897564898,0.1241923905240488,0.2685714285714285,0.1361529281038502,0.2501830284315071,0.1532407060228763,0.2301967858734071
