,Biodiversity,Coastal Bird Impact,Habitat Engineers,Habitat Management,Invasive Genetics,Marsh Stressors,Resource Management,Species Conservation,Species Selection,Wetland Degradation,Wetland Disturbance,restoration planting,stakeholder perspectives
Biodiversity,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2,-1.0,1.0,1.0,0.0
Coastal Bird Impact,0.0,0.0,0.0,0.0,0.2,1.0,0.2,-0.6,-1.0,1.0,0.0,0.0,0.0
Habitat Engineers,0.0,0.0,0.0,-0.6,0.0,0.0,1.0,1.0,-0.2,0.0,-0.75,1.0,0.4
Habitat Management,1.0,0.0,0.0,0.0,0.0,-0.75,1.0,0.0,0.0,-0.8,0.0,0.0,0.0
Invasive Genetics,0.0,0.0,-1.0,0.0,0.0,0.0,0.2,-1.0,0.0,0.8,0.0,0.0,0.0
Marsh Stressors,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0
Resource Management,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0
Species Conservation,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Species Selection,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Wetland Degradation,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wetland Disturbance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0
restoration planting,0.0,-0.4,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
stakeholder perspectives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
