,Disease and Environmental Stress,Ecosystem and Habitat Management,Fisheries Management,Fishing Impact Management,Harvest Management Strategies,Ocean Fish Forecasting,Overfishing and Conservation,Resource Policies & Environment,River Systems and Hydrology,Runoff and Shoreline Impact,Salmon Conservation Efforts
Disease and Environmental Stress,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ecosystem and Habitat Management,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0
Fisheries Management,-0.2,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Fishing Impact Management,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Harvest Management Strategies,0.0,0.0,0.0,0.6,0.0,1.0,-0.6666666666666666,-1.0,0.0,0.0,0.0
Ocean Fish Forecasting,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
Overfishing and Conservation,-0.5,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.25,0.0,0.0
Resource Policies & Environment,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.3333333333333333,0.0,0.0
River Systems and Hydrology,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
Runoff and Shoreline Impact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Salmon Conservation Efforts,-0.5,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.75,0.0
