,Coastal Ecosystems,Coastal Management,Coastal Reef Health,Community Engagement,Ecosystem Conservation,Ecosystem Health,Environmental Stressors,Government Operations,Local Water Quality,Public Funding,Regulatory Management,Sustainable Land,Water Clarity
Coastal Ecosystems,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Coastal Management,0.0,0.0,0.0,0.2,0.5,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coastal Reef Health,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
Community Engagement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
Ecosystem Conservation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8
Ecosystem Health,-0.4,0.0,0.0,0.0,-0.8,0.0,-0.6,-1.0,0.0,-1.0,-0.6,0.0,0.0
Environmental Stressors,0.4,0.0,0.0,-0.2,0.0,-1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Government Operations,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0
Local Water Quality,0.0,0.0,0.0,-1.0,0.6,-1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0
Public Funding,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Regulatory Management,1.0,0.6,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0
Sustainable Land,0.0,-0.5,0.0,0.0,-0.2,-1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Water Clarity,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
