,Biodiversity Types,Climate Adaptation,Coastal Marsh Ecology,Conservation Priorities,Ecosystem Services,Environmental Stressors,Farmland Restoration,Food Webs,Habitat Formation,Habitat Loss,Hydrology & Water Quality,Key Producers,Management Strategies,Social-Ecological Systems,Species Interactions,Stress Responses
Biodiversity Types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Climate Adaptation,0.6,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,-0.5,0.0
Coastal Marsh Ecology,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Conservation Priorities,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
Ecosystem Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Stressors,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8
Farmland Restoration,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Food Webs,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
Habitat Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habitat Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrology & Water Quality,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Key Producers,0.8,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Management Strategies,0.0,0.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.75,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0
Social-Ecological Systems,0.75,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Species Interactions,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
Stress Responses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.75,0.0
