,Community Leadership,Education Access,Food Retail,Food Systems,Health & Wellbeing,Land and Resource Conservation,Local Food Access,commercial composting,educator farmer,farm dollars
Community Leadership,0.0,0.5,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75
Education Access,0.8,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0
Food Retail,0.5,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.25,0.0
Food Systems,0.6666666666666666,0.75,0.6666666666666666,0.0,0.75,1.0,0.8,0.75,0.0,1.0
Health & Wellbeing,0.8,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.8,0.0
Land and Resource Conservation,1.0,0.0,0.75,1.0,0.0,0.0,0.8,1.0,0.75,0.0
Local Food Access,0.0,0.6666666666666666,0.8,0.0,1.0,1.0,0.0,0.0,1.0,1.0
commercial composting,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8,0.0
educator farmer,0.75,0.75,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0
farm dollars,1.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0
