,climate change,conflicts,coral reefs,enforcement,federal government,fisheries management,fishers,fishery management,lionfish invasion,local government,overfishing,parrotfish,regulations,tourism,usvi
climate change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conflicts,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.6,0.0,0.0,0.0,0.0,-0.2,0.0,0.0
coral reefs,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
enforcement,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.8,0.0
federal government,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
fisheries management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
fishers,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,1.0,0.0,-0.2,0.0,-1.0,0.0,0.0,0.0
fishery management,0.0,0.0,0.0,1.0,1.0,0.0,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lionfish invasion,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
local government,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0
overfishing,0.0,0.0,-1.0,0.6,0.0,0.0,-1.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
regulations,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-0.2,0.0,1.0,0.0
tourism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usvi,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
