,Bay Economics,Bay Health Economics,Business Operations,Climate Action,Coastal Impacts,Environmental Conditions,Oyster Ecology,Project Management,Salinity & Biodiversity,Water Pollution,urbanization
Bay Economics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8,-1.0,0.0
Bay Health Economics,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0
Business Operations,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.4
Climate Action,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0.0
Coastal Impacts,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.8
Environmental Conditions,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,1.0,0.0,0.0
Oyster Ecology,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
Project Management,1.0,1.0,1.0,0.0,-0.6,0.0,1.0,0.0,0.0,-1.0,0.0
Salinity & Biodiversity,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Pollution,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
urbanization,0.0,-1.0,0.2,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0
