,Coastal Economies,Community Conflict,Community Issues,Environmental Inequality,Fishery Collaboration,Fishery Management,Government & Politics,Resource Management,climate change,coral reefs
Coastal Economies,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.0,1.0,-1.0
Community Conflict,-0.2,0.0,0.0,0.6,-0.6,-0.2,-1.0,0.0,0.0,-0.6
Community Issues,1.0,-1.0,0.0,0.8,0.0,0.0,-0.6,-0.25,0.75,-0.5
Environmental Inequality,1.0,-0.2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
Fishery Collaboration,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.2,-0.6,0.2
Fishery Management,0.0,0.0,-0.5,0.8,-1.0,0.0,-1.0,-1.0,0.0,0.0
Government & Politics,1.0,-0.6,-0.6,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0
Resource Management,0.0,0.0,-0.4,0.0,0.2,-0.6,0.6,0.0,1.0,0.0
climate change,1.0,0.0,0.0,0.8,-1.0,0.0,0.6,0.6,0.0,0.0
coral reefs,-0.2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
