,Academic Achievement,Academic Standards,Community Systems,Educational Access,Family Involvement,Food Access,Local Funding,School Environment,School Partnerships,School Transitions,Sex Education,Student Well-Being,Youth Academic Support
Academic Achievement,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
Academic Standards,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Community Systems,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Educational Access,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Family Involvement,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Food Access,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
Local Funding,0.3333333333333333,0.0,-1.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5
School Environment,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,-1.0,0.0,1.0,1.0
School Partnerships,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0
School Transitions,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,-1.0
Sex Education,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Student Well-Being,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Youth Academic Support,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.75,0.0,0.0
